CEP;Rua;Bairro;Cidade;Latitude;Longitude
13476-432; Rua Palmital; Jardim da Mata; Americana/SP;-22.7473373;
13467-280; Rua Amor-Perfeito; Jardim das Flores; Americana/SP;-22.7649079;-47.3303492,18
13467-283; Rua Bandeira Branca; Jardim das Flores; Americana/SP;-22.7645057;-47.3310254,17
13467-281; Rua Prímula; Jardim das Flores; Americana/SP;-22.7655079;-47.3316367,17
13467-282; Rua Sálvia; Jardim das Flores; Americana/SP;-22.766108;-47.3303492,18
13469-792; Rua Antônio Dirceu de Leão; Jardim das Orquídeas; Americana/SP;-22.7052062;-47.375196,17
13469-788; Rua Arnaldo Zapella; Jardim das Orquídeas; Americana/SP;-22.7058273;-47.3740748,17
13469-786; Rua Cyra de Oliveira Petrin; Jardim das Orquídeas; Americana/SP;-22.7059388;-47.3713946,17
13469-154; Rua Alabama; Jardim Dona Judith; Americana/SP;-22.7383342;-47.3511419,18
13469-168; Rua Arizona; Jardim Dona Judith; Americana/SP;-22.7367273;-47.3468604,18
13469-162; Rua Arkansas; Jardim Dona Judith; Americana/SP;-22.7376493;-47.3486443,18
13469-172; Rua Califórnia; Jardim Dona Judith; Americana/SP;-22.7359238;-47.3444139,18
13469-166; Rua Carolina do Norte; Jardim Dona Judith; Americana/SP;-22.737129;-47.347472,18
13469-160; Rua Carolina do Sul; Jardim Dona Judith; Americana/SP;-22.7375307;-47.3493069,18
13469-170; Rua Doutor James Roderick Jones; Jardim Dona Judith; Americana/SP;-22.7365651;-47.3475302,17
13469-150; Rua Flórida; Jardim Dona Judith; Americana/SP;-22.7387359;-47.3523654,18
13469-152; Rua Georgia; Jardim Dona Judith; Americana/SP;-22.7389344;-47.3517536,18
13469-156; Rua Mississipi; Jardim Dona Judith; Americana/SP;-22.7379325;-47.3505303,18
13469-158; Rua Nevada; Jardim Dona Judith; Americana/SP;-22.7379325;-47.3499186,18
13469-164; Rua Texas; Jardim Dona Judith; Americana/SP;-22.7376192;-47.3491981,17
13467-263; Rua Andorinhas; Jardim dos Lírios; Americana/SP;-22.762596;-47.3306129,18
13467-253; Rua Anu Branco; Jardim dos Lírios; Americana/SP;-22.762596;
13467-264; Rua Azulão; Jardim dos Lírios; Americana/SP;-22.7625554;-47.3300855,18
13467-251; Rua Beija-Flor; Jardim dos Lírios; Americana/SP;-22.7611032;-47.3291912,17
13467-252; Rua Cardeal; Jardim dos Lírios; Americana/SP;-22.7619044;-47.328515,18
13467-270; Rua Ema; Jardim dos Lírios; Americana/SP;-22.7623064;-47.3310253,17
13467-262; Rua Gavião; Jardim dos Lírios; Americana/SP;-22.7626375;-47.3311349,18
13467-271; Rua Jaçanã; Jardim dos Lírios; Americana/SP;-22.7631105;-47.3297384,17
13467-250; Rua João de Barro; Jardim dos Lírios; Americana/SP;-22.7607042;-47.3291912,17
13467-272; Rua Jurití; Jardim dos Lírios; Americana/SP;-22.7630719;-47.3292129,17
13467-260; Rua Perdizes; Jardim dos Lírios; Americana/SP;-22.7642127;-47.3308156,17
13467-261; Rua Pica-Pau; Jardim dos Lírios; Americana/SP;-22.764964;-47.3295454,17
13467-254; Rua Tuiuiu; Jardim dos Lírios; Americana/SP;-22.764964;
13467-273; Rua Uirapuru; Jardim dos Lírios; Americana/SP;-22.7624629;-47.3279405,17
13472-602; Rua Santa Marta; Jardim Esplanada; Americana/SP;-22.720987;-47.3240403,17
13472-606; Rua São Bartolomeu; Jardim Esplanada; Americana/SP;-22.7199848;-47.3242051,17
13472-604; Rua São Braz; Jardim Esplanada; Americana/SP;-22.7202678;-47.3236265,17
13472-608; Rua São Sérgio; Jardim Esplanada; Americana/SP;-22.7195241;-47.3229442,18
13472-600; Rua São Tarcísio; Jardim Esplanada; Americana/SP;-22.7215361;-47.3238893,17
13465-590; Avenida Campos Sales; Jardim Girassol; Americana/SP;-22.7427039;-47.347289,16
13465-669; Praça da Bandeira; Jardim Girassol; Americana/SP;-22.7423115;-47.3346294,18
13465-689; Praça Divino Salvador; Jardim Girassol; Americana/SP;-22.7423115;
13465-690; Rua Argentina; Jardim Girassol; Americana/SP;-22.7450036;-47.347736,16
13465-660; Rua Fortunato Faraone; Jardim Girassol; Americana/SP;-22.744709;-47.3459379,16
13465-670; Rua Gonçalves Dias; Jardim Girassol; Americana/SP;-22.747358;-47.3349134,17
13465-630; Rua Herman Müller Carioba; Jardim Girassol; Americana/SP;-22.7426554;-47.3363724,17
13465-620; Rua Júlio Prestes; Jardim Girassol; Americana/SP;-22.7417139;-47.3377514,17
13465-650; Rua Marechal Cândido Rondon; Jardim Girassol; Americana/SP;-22.7431152;-47.336464,18
13465-672; Rua Pedro Waldomiro Bissi; Jardim Girassol; Americana/SP;-22.7431152;
13465-640; Rua Primo Picoli; Jardim Girassol; Americana/SP;-22.742215;-47.3359514,17
13465-680; Rua Uruguai; Jardim Girassol; Americana/SP;-22.7443201;-47.3478286,16
13465-600; Rua Vital Brasil; Jardim Girassol; Americana/SP;-22.7430234;-47.3446809,16
13468-259; Praça Gumar Bedicks; Jardim Glória; Americana/SP;-22.7561197;
13468-220; Rua A; Jardim Glória; Americana/SP;-22.7314215;-47.2711527,17
13468-240; Rua das Caneleiras; Jardim Glória; Americana/SP;-23.6474914;-46.5458886,16
13468-200; Rua das Nogueiras; Jardim Glória; Americana/SP;-22.7583253;-47.3426437,17
13468-170; Rua dos Jequitibás; Jardim Glória; Americana/SP;-22.7568889;-47.3462713,16
13468-190; Rua dos Pinheiros; Jardim Glória; Americana/SP;-22.7577251;-47.3452186,16
13468-231; Rua Genesio Ferreira; Jardim Glória; Americana/SP;-22.760712;-47.3487784,17
13468-210; Rua Guarantã; Jardim Glória; Americana/SP;-22.7595065;-47.3419012,17
13468-250; Rua Guerino Gobbo; Jardim Glória; Americana/SP;-22.7581328;-47.3481479,17
13468-221; Rua José Melotti; Jardim Glória; Americana/SP;-22.7605307;-47.3457014,17
13468-230; Rua Maestro Carlos Panaro; Jardim Glória; Americana/SP;-22.7599425;-47.3431755,17
13468-260; Rua Octaviano Oladio da Silva; Jardim Glória; Americana/SP;-22.758647;-47.3495154,17
13470-628; Rua Antônio de Sá Filho; Jardim Governador Mário Covas II; Americana/SP;-22.7066363;-47.3732271,17
13470-632; Rua Benedicto de Paula; Jardim Governador Mário Covas II; Americana/SP;-22.7060885;-47.3715904,17
13470-624; Rua Francisco Carlos Maciel; Jardim Governador Mário Covas II; Americana/SP;-22.7067251;-47.3731355,18
13470-636; Rua Sueli Siviero Dias; Jardim Governador Mário Covas II; Americana/SP;-22.7058039;-47.372761,17
13470-654; Rua Benedito Ramos; Jardim Governador Mário Covas III; Americana/SP;-22.7038719;-47.3716632,17
13470-658; Rua Josué Santos Caio; Jardim Governador Mário Covas III; Americana/SP;-22.7034716;-47.3714224,17
13470-662; Rua Maria Amélia Santos Stéfani; Jardim Governador Mário Covas III; Americana/SP;-22.7031365;-47.3713947,17
13470-650; Rua Osni Martinelli; Jardim Governador Mário Covas III; Americana/SP;-22.7038599;-47.3714979,18
13471-450; Avenida Europa; Jardim Guanabara; Americana/SP;-22.7259175;-47.345219,16
13471-340; Rua da Gávea; Jardim Guanabara; Americana/SP;-22.7200284;-47.332765,17
13471-430; Rua da Marambaia; Jardim Guanabara; Americana/SP;-22.7190089;-47.3326318,18
13471-390; Rua da Tijuca; Jardim Guanabara; Americana/SP;-22.7205007;-47.3358402,17
13471-360; Rua da Urca; Jardim Guanabara; Americana/SP;-22.7199544;-47.3339919,17
13471-400; Rua de Copacabana; Jardim Guanabara; Americana/SP;-22.722518;-47.3354469,17
13471-380; Rua do Bangu; Jardim Guanabara; Americana/SP;-22.7205776;-47.3352425,17
13471-350; Rua do Botafogo; Jardim Guanabara; Americana/SP;-22.721105;-47.3334711,17
13471-420; Rua do Castelo; Jardim Guanabara; Americana/SP;-22.7184347;-47.3334383,18
13471-410; Rua do Flamengo; Jardim Guanabara; Americana/SP;-21.5651989;-53.6382145,7
13471-440; Rua do Jacarepaguá; Jardim Guanabara; Americana/SP;-22.7207094;-47.3347934,17
13471-370; Rua do Leblon; Jardim Guanabara; Americana/SP;-22.7201288;-47.3346124,17
13477-279; Praça José Aranha Neto; Jardim Helena; Americana/SP;-22.7310519;-47.2967319,18
13477-273; Rua Antônio Fornaziero; Jardim Helena; Americana/SP;-22.7299035;-47.2976109,17
13477-250; Rua Ferrúcio Bertaglia; Jardim Helena; Americana/SP;-22.731243;-47.2978442,17
13477-271; Rua João Jacintho de Freitas; Jardim Helena; Americana/SP;-22.7306529;-47.2986303,17
13477-272; Rua Mauro Schiavoni; Jardim Helena; Americana/SP;-22.7300279;-47.2980884,17
13477-270; Rua Waldomiro Aranha Neto; Jardim Helena; Americana/SP;-22.7301809;-47.2985039,17
13479-840; Praça Antônio Gasparini; Jardim Imperador; Americana/SP;-22.7301809;
13479-780; Rua Imperador Adriano; Jardim Imperador; Americana/SP;-22.7599973;-47.2669477,17
13479-783; Rua Imperador Antonino; Jardim Imperador; Americana/SP;-22.7617823;-47.2686984,17
13479-786; Rua Imperador Augusto; Jardim Imperador; Americana/SP;-22.7573752;-47.2631364,18
13479-789; Rua Imperador Cláudio; Jardim Imperador; Americana/SP;-22.7603392;-47.2662892,17
13479-792; Rua Imperador Cômodo; Jardim Imperador; Americana/SP;-22.7597563;-47.2641331,18
13479-795; Rua Imperador Constantino; Jardim Imperador; Americana/SP;-22.7585743;-47.2631364,18
13479-798; Rua Imperador Didi Giuliano; Jardim Imperador; Americana/SP;-22.7557692;-47.2619813,17
13479-801; Rua Imperador Domiciliano; Jardim Imperador; Americana/SP;-22.7597736;-47.265645,17
13479-804; Rua Imperador Galba; Jardim Imperador; Americana/SP;-22.7613755;-47.2643576,18
13479-807; Rua Imperador Marco Aurélio; Jardim Imperador; Americana/SP;-22.7583688;-47.2625919,17
13479-810; Rua Imperador Nero; Jardim Imperador; Americana/SP;-22.7587799;-47.267477,17
13479-813; Rua Imperador Nerva; Jardim Imperador; Americana/SP;-22.7619751;-47.2662558,17
13479-816; Rua Imperador Oton; Jardim Imperador; Americana/SP;-22.7607759;-47.2662558,17
13479-819; Rua Imperador Petinax; Jardim Imperador; Americana/SP;-22.7593711;-47.261915,18
13479-822; Rua Imperador Sétimo Servo; Jardim Imperador; Americana/SP;-22.7563417;-47.2621635,18
13479-825; Rua Imperador Tibério; Jardim Imperador; Americana/SP;-22.7605747;-47.265645,17
13479-828; Rua Imperador Tito; Jardim Imperador; Americana/SP;-22.7583774;-47.2688308,16
13479-837; Rua Imperador Trajano; Jardim Imperador; Americana/SP;-22.7601803;-47.2674771,17
13479-831; Rua Imperador Vespasiano; Jardim Imperador; Americana/SP;-22.7609729;-47.2631364,18
13479-834; Rua Imperador Vitelia; Jardim Imperador; Americana/SP;-22.7599707;-47.2638132,17
13468-570; Avenida Armando Salles de Oliveira; Jardim Ipiranga; Americana/SP;-22.7536682;-47.3679281,15
13468-535; Avenida Brasil Norte; Jardim Ipiranga; Americana/SP;-22.7536682;
13468-579; Praça Luiz de Boni; Jardim Ipiranga; Americana/SP;-22.7483492;-47.3597059,18
13468-490; Rua Ibirapuera; Jardim Ipiranga; Americana/SP;-22.7549699;-47.362022,16
13468-580; Rua Icaraí; Jardim Ipiranga; Americana/SP;-22.7544614;-47.3639673,16
13468-450; Rua Igarata; Jardim Ipiranga; Americana/SP;-22.7456545;-47.3636413,16
13468-572; Rua Iguaçu; Jardim Ipiranga; Americana/SP;-22.7544735;-47.3612284,17
13468-550; Rua Imigrantes; Jardim Ipiranga; Americana/SP;-22.7497094;-47.3623439,16
13468-500; Rua Indaiá; Jardim Ipiranga; Americana/SP;-22.7537936;-47.3612189,16
13468-470; Rua Ingás; Jardim Ipiranga; Americana/SP;-22.7475896;-47.3606632,17
13468-510; Rua Inhaúma; Jardim Ipiranga; Americana/SP;-22.7546476;-47.3597786,16
13468-460; Rua Ipojuca; Jardim Ipiranga; Americana/SP;-22.7466281;-47.3601385,17
13468-520; Rua Itabirito; Jardim Ipiranga; Americana/SP;-22.7542556;-47.3572259,16
13468-540; Rua Itacolomi; Jardim Ipiranga; Americana/SP;-22.7529981;-47.3611612,16
13468-571; Rua Itajaí; Jardim Ipiranga; Americana/SP;-22.753241;-47.362356,18
13468-440; Rua Itamarati; Jardim Ipiranga; Americana/SP;-22.7479005;-47.3584159,17
13468-560; Rua Itambé; Jardim Ipiranga; Americana/SP;-22.752139;-47.3600658,17
13468-430; Rua Itanhaém; Jardim Ipiranga; Americana/SP;-22.7473324;-47.3575954,17
13468-480; Rua Itapemirim; Jardim Ipiranga; Americana/SP;-22.7486607;-47.363293,16
13468-602; Rua Itapeura; Jardim Ipiranga; Americana/SP;-22.7516517;-47.3616861,18
13468-530; Rua Itapuã; Jardim Ipiranga; Americana/SP;-22.7509437;-47.3567112,17
13468-574; Rua Itapura; Jardim Ipiranga; Americana/SP;-22.7571525;-47.3597701,17
13468-481; Rua Itararé; Jardim Ipiranga; Americana/SP;-22.7479399;-47.3584144,17
13468-573; Rua Itariri; Jardim Ipiranga; Americana/SP;-22.75589;-47.3606439,17
13468-420; Rua Itaúna; Jardim Ipiranga; Americana/SP;-22.7479934;-47.3592949,16
13468-421; Rua Vinte e Quatro; Jardim Ipiranga; Americana/SP;-22.7643528;-47.3562177,17
13467-064; Rua Aguaí; Jardim Jacyra; Americana/SP;-22.7643528;
13467-061; Rua Araraquara; Jardim Jacyra; Americana/SP;-22.7409763;-47.3587245,18
13467-062; Rua Araras; Jardim Jacyra; Americana/SP;-22.767085;-47.331734,17
13467-066; Rua Arthur Gonçalves; Jardim Jacyra; Americana/SP;-22.7649231;-47.3463602,17
13467-063; Rua Artur Nogueira; Jardim Jacyra; Americana/SP;-22.7822264;-47.3551754,17
13467-065; Rua das Gardênias; Jardim Jacyra; Americana/SP;-22.7822264;
13467-060; Rua Hugo Beraldo; Jardim Jacyra; Americana/SP;-22.76399;-47.3439267,18
13467-067; Rua Padre Gilberto Ávila; Jardim Jacyra; Americana/SP;-22.766136;-47.3467758,17
13471-325; Avenida Europa; Jardim Lizandra; Americana/SP;-22.7285212;-47.3509821,15
13471-322; Rua Carmela Campari Sacilotto; Jardim Lizandra; Americana/SP;-22.7236264;-47.3339494,17
13471-323; Rua Catarina Menegazzo Zanaga; Jardim Lizandra; Americana/SP;-22.7234665;-47.3332824,17
13471-321; Rua Cecília Azenha; Jardim Lizandra; Americana/SP;-22.7232598;-47.334629,17
13471-320; Rua Maria Bover Boldrini; Jardim Lizandra; Americana/SP;-22.7238095;-47.3345613,17
13471-324; Rua Zaira Nardini Minozzi; Jardim Lizandra; Americana/SP;-22.7231036;-47.3315722,18
13477-225; Rua Celinda Antônia Quaino Santa Rosa; Jardim Luciane; Americana/SP;-22.7336685;-47.3022185,17
13477-227; Rua Joaquim Florindo de Camargo; Jardim Luciane; Americana/SP;-22.7330555;-47.2991759,18
13477-226; Rua José Auto de Godoy; Jardim Luciane; Americana/SP;-22.733127;-47.2997439,18
13477-228; Rua José Donha; Jardim Luciane; Americana/SP;-22.7330045;-47.2994494,18
13477-229; Rua Manoel de Mattos; Jardim Luciane; Americana/SP;-22.7318527;-47.2986303,17
13466-660; Avenida Prefeito Abdo Najar; Jardim Marcia Cristina; Americana/SP;-22.7560559;-47.3383514,15
13466-669; Praça Luiz Passarine; Jardim Marcia Cristina; Americana/SP;-22.7507949;
13466-690; Rua das Campanulas; Jardim Marcia Cristina; Americana/SP;-22.756267;-47.3332725,17
13466-680; Rua dos Sândalos; Jardim Marcia Cristina; Americana/SP;-22.7562599;-47.3325851,17
13466-670; Rua dos Tinhorões; Jardim Marcia Cristina; Americana/SP;-22.7562045;-47.3326891,17
13478-850; Avenida Milão; Jardim Mirandola; Americana/SP;-22.7562045;
13478-870; Avenida Parma; Jardim Mirandola; Americana/SP;-22.747022;-47.2845785,17
13478-860; Avenida Roma; Jardim Mirandola; Americana/SP;-22.7438064;-47.2813679,17
13478-855; Avenida Turim; Jardim Mirandola; Americana/SP;-22.7438064;
13478-840; Estrada Luiz Renato Nascimento; Jardim Mirandola; Americana/SP;-22.7498377;-47.2931314,17
13478-862; Rua Arezzo; Jardim Mirandola; Americana/SP;-22.749229;-47.2880434,17
13478-865; Rua Bérgamo; Jardim Mirandola; Americana/SP;-22.7485594;-47.2862105,17
13478-861; Rua Bolonha; Jardim Mirandola; Americana/SP;-22.743063;-47.2839689,17
13478-854; Rua Capri; Jardim Mirandola; Americana/SP;-22.7452663;-47.2846152,17
13478-874; Rua Carrara; Jardim Mirandola; Americana/SP;-22.7494239;-47.2886674,17
13478-852; Rua Florença; Jardim Mirandola; Americana/SP;-22.7426225;-47.2839676,17
13478-857; Rua Gênova; Jardim Mirandola; Americana/SP;-22.74455;-47.2835212,17
13478-856; Rua Nápolis; Jardim Mirandola; Americana/SP;-22.7450142;-47.2840912,17
13478-858; Rua Padova; Jardim Mirandola; Americana/SP;-22.7443044;-47.2833673,18
13478-871; Rua Ravena; Jardim Mirandola; Americana/SP;-22.7483798;-47.2881664,17
13478-863; Rua San Marinho; Jardim Mirandola; Americana/SP;-22.749014;-47.2874259,17
13478-873; Rua Tívoli; Jardim Mirandola; Americana/SP;-22.7496235;-47.2892594,17
13478-866; Rua Udine; Jardim Mirandola; Americana/SP;-22.7482965;-47.2856084,17
13478-851; Rua Veneza; Jardim Mirandola; Americana/SP;-22.7433278;-47.2845755,17
13478-853; Rua Verona; Jardim Mirandola; Americana/SP;-22.7401518;-47.2870481,16
13478-864; Rua Vicenza; Jardim Mirandola; Americana/SP;-22.748806;-47.2868039,17
13478-872; Rua Viterbo; Jardim Mirandola; Americana/SP;-22.7499255;-47.2899109,17
13469-070; Avenida Monsenhor Bruno Nardini; Jardim Miriam; Americana/SP;-22.7452184;-47.3604454,16
13469-089; Praça Judith Cibin Braga; Jardim Miriam; Americana/SP;-22.7447406;-47.3560996,17
13469-080; Rua Albino Menegatti; Jardim Miriam; Americana/SP;-22.7441605;-47.3552318,17
13469-072; Rua João Bandini; Jardim Miriam; Americana/SP;-22.744738;-47.352977,18
13469-074; Rua Marrocos; Jardim Miriam; Americana/SP;-22.7443271;-47.3515754,18
13469-073; Rua Pérsia; Jardim Miriam; Americana/SP;-22.744241;-47.3521655,18
13467-230; Rua das Maravilhas; Jardim Nielsen Ville; Americana/SP;-22.7701175;-47.3352409,18
13467-240; Rua Sempre Viva; Jardim Nielsen Ville; Americana/SP;-22.7693785;-47.337487,17
13474-470; Avenida Cecília Meirelles; Jardim Nossa Senhora Aparecida; Americana/SP;-22.7048559;-47.3010189,17
13474-480; Avenida Graciliano Ramos; Jardim Nossa Senhora Aparecida; Americana/SP;-22.7035307;-47.3055354,17
13474-471; Avenida Marginal; Jardim Nossa Senhora Aparecida; Americana/SP;-22.7442739;-47.3168517,15
13474-468; Avenida Nina Rodrigues; Jardim Nossa Senhora Aparecida; Americana/SP;-22.7062603;-47.2985649,18
13474-467; Rua Álvaro Lins; Jardim Nossa Senhora Aparecida; Americana/SP;-22.7042576;-47.2955098,18
13474-461; Rua Anísio Teixeira; Jardim Nossa Senhora Aparecida; Americana/SP;-22.705243;-47.2976804,17
13474-464; Rua Francisco Alves; Jardim Nossa Senhora Aparecida; Americana/SP;-22.7048504;-47.2991269,17
13474-462; Rua Gustavo Teixeira; Jardim Nossa Senhora Aparecida; Americana/SP;-22.7047688;-47.2981035,17
13474-466; Rua Inglês de Souza; Jardim Nossa Senhora Aparecida; Americana/SP;-22.7041199;-47.297926,17
13474-463; Rua Jackson de Figueiredo; Jardim Nossa Senhora Aparecida; Americana/SP;-22.7049325;-47.2980309,17
13474-465; Rua Leonardo Mota; Jardim Nossa Senhora Aparecida; Americana/SP;-22.7046049;-47.2987254,17
13474-460; Rua Voltolino; Jardim Nossa Senhora Aparecida; Americana/SP;-22.705522;-47.299362,17
13472-329; Praça Sérgio Miante; Jardim Nossa Senhora do Carmo; Americana/SP;-22.705522;
13472-330; Rua Santo Ignácio de Loyola; Jardim Nossa Senhora do Carmo; Americana/SP;-22.724515;-47.314096,18
13472-296; Rua Santo Onofre; Jardim Nossa Senhora do Carmo; Americana/SP;-22.725005;-47.3189972,16
13472-260; Rua São Bonifácio; Jardim Nossa Senhora do Carmo; Americana/SP;-22.7195589;-47.3159714,17
13472-320; Rua São Calixto; Jardim Nossa Senhora do Carmo; Americana/SP;-22.7254682;-47.3150004,17
13472-350; Rua São Casemiro; Jardim Nossa Senhora do Carmo; Americana/SP;-22.7258219;-47.3124533,18
13472-340; Rua São Crispim; Jardim Nossa Senhora do Carmo; Americana/SP;-22.7262535;-47.314566,17
13472-290; Rua São Gonçalo; Jardim Nossa Senhora do Carmo; Americana/SP;-22.7229701;-47.3163117,17
13472-295; Rua São Lucas; Jardim Nossa Senhora do Carmo; Americana/SP;-22.7248659;-47.3256015,15
13472-270; Rua São Manuel; Jardim Nossa Senhora do Carmo; Americana/SP;-22.7203083;-47.3150066,18
13472-300; Rua São Nicolau; Jardim Nossa Senhora do Carmo; Americana/SP;-22.7234802;-47.3177058,16
13472-310; Rua São Teodoro; Jardim Nossa Senhora do Carmo; Americana/SP;-22.7243884;-47.3177919,16
13472-280; Rua São Thomé; Jardim Nossa Senhora do Carmo; Americana/SP;-22.7220359;-47.3141964,18
13475-681; Rua Professora Loretta Aparecida Tegão Montera; Jardim Nova Aliança; Americana/SP;-22.7220359;
13471-471; Rua AndaraÍ; Jardim Novo Horizonte; Americana/SP;-22.7195475;-47.3376219,17
13471-469; Rua Bonsucesso; Jardim Novo Horizonte; Americana/SP;-22.7191399;-47.3374059,17
13471-465; Rua do Flamengo; Jardim Novo Horizonte; Americana/SP;-22.7217682;-47.3451276,15
13471-473; Rua Ilha do Governador; Jardim Novo Horizonte; Americana/SP;-22.7203111;-47.336464,18
13471-467; Rua Maracanã; Jardim Novo Horizonte; Americana/SP;-22.7208103;-47.3377736,17
13471-479; Rua Meier; Jardim Novo Horizonte; Americana/SP;-22.7183432;-47.3385488,17
13471-475; Rua Noruega; Jardim Novo Horizonte; Americana/SP;-22.7194515;-47.3391018,17
13474-312; Avenida Walter Minozzi; Jardim Novo Paraíso; Americana/SP;-22.7114293;-47.28614,17
13474-309; Rua 12 de Março; Jardim Novo Paraíso; Americana/SP;-22.7164405;-47.2882439,17
13474-302; Rua Ana Dionísio dos Santos; Jardim Novo Paraíso; Americana/SP;-22.7162326;-47.2876978,17
13474-306; Rua Francisco Cia; Jardim Novo Paraíso; Americana/SP;-22.7171014;-47.2868922,18
13474-300; Rua João Alvares Neto; Jardim Novo Paraíso; Americana/SP;-22.715565;-47.2874093,17
13474-308; Rua João Cândido; Jardim Novo Paraíso; Americana/SP;-22.717442;-47.2869564,18
13474-304; Rua José Batista da Silva Filho; Jardim Novo Paraíso; Americana/SP;-22.716571;-47.2865974,18
13472-658; Rua Antonio Bertalia; Jardim Pau Brasil; Americana/SP;-22.7202627;-47.3269738,17
13472-659; Rua Cynthia Américo; Jardim Pau Brasil; Americana/SP;-22.7212561;-47.3357246,15
13472-664; Rua Débora Cristina Gaiotti Faccioli; Jardim Pau Brasil; Americana/SP;-22.7212561;
13472-665; Rua Gildo Boer; Jardim Pau Brasil; Americana/SP;-22.7178349;-47.3273039,17
13472-666; Rua José Ardito; Jardim Pau Brasil; Americana/SP;-22.7136874;-47.327407,17
13472-653; Rua José Paciulli; Jardim Pau Brasil; Americana/SP;-22.7189044;-47.3274272,17
13472-661; Rua Nicola Fiore; Jardim Pau Brasil; Americana/SP;-22.7201021;-47.3344992,15
13472-667; Rua Tenente Jovelino Guatura dos Santos; Jardim Pau Brasil; Americana/SP;-22.7141196;-47.3272642,17
13472-662; Rua Tercília Bortoletto Sacilotto; Jardim Pau Brasil; Americana/SP;-22.7185572;-47.3259658,18
13472-655; Rua Valdomiro Mineiro; Jardim Pau Brasil; Americana/SP;-22.7204436;-47.3260896,17
13472-654; Rua Vitalina de Jesus Boraschi; Jardim Pau Brasil; Americana/SP;-22.7193323;-47.3260598,17
13468-278; Praça Doutor João Kfour; Jardim Paulista; Americana/SP;-22.7624031;
13468-271; Rua Albertina Müller; Jardim Paulista; Americana/SP;-22.7564135;-47.3492949,17
13468-275; Rua Amélio Ettore Gobbo; Jardim Paulista; Americana/SP;-22.7534654;-47.3499759,17
13468-276; Rua Germano Giusti; Jardim Paulista; Americana/SP;-22.753904;-47.3488314,17
13468-272; Rua João Alves Leitão; Jardim Paulista; Americana/SP;-22.7553454;-47.3492012,17
13468-274; Rua Luiza Meneghel Mancini; Jardim Paulista; Americana/SP;-22.7541354;-47.3486953,18
13468-273; Rua Marco César Melosi; Jardim Paulista; Americana/SP;-22.7546785;-47.3480045,18
13468-270; Rua Tereza Linarello Meneghel; Jardim Paulista; Americana/SP;-22.7569809;-47.3490399,17
13471-570; Avenida Toyobo; Jardim Paulistano; Americana/SP;-22.7242318;-47.3388401,17
13471-579; Praça Toyobo; Jardim Paulistano; Americana/SP;-22.7213151;-47.3401331,18
13471-600; Rua Dinamarca; Jardim Paulistano; Americana/SP;-22.7257037;-47.3430792,16
13471-580; Rua Holanda; Jardim Paulistano; Americana/SP;-22.7235814;-47.3403439,17
13471-550; Rua Itália; Jardim Paulistano; Americana/SP;-22.7237614;-47.3399929,16
13471-590; Rua Polônia; Jardim Paulistano; Americana/SP;-22.725358;-47.3390645,17
13471-552; Rua S; Jardim Paulistano; Americana/SP;-22.725358;
13470-600; Rua Clemente Salvador; Jardim Paz; Americana/SP;-22.7520466;-47.2974083,17
13470-486; Rua Compreensão; Jardim Paz; Americana/SP;-22.7096586;-47.3676194,18
13470-465; Rua da Alegria; Jardim Paz; Americana/SP;-22.7112869;-47.3638659,17
13470-492; Rua da Aliança; Jardim Paz; Americana/SP;-22.7079505;-47.3651349,18
13470-461; Rua da Benevolência; Jardim Paz; Americana/SP;-22.7126461;-47.3639179,17
13470-494; Rua da Bondade; Jardim Paz; Americana/SP;-22.7072858;-47.3660217,18
13470-473; Rua da Brandura; Jardim Paz; Americana/SP;-22.7104603;-47.361101,18
13470-466; Rua da Caridade; Jardim Paz; Americana/SP;-22.711293;-47.3624709,18
13470-498; Rua da Concórdia; Jardim Paz; Americana/SP;-22.7074715;-47.3678065,16
13470-490; Rua da Confiança; Jardim Paz; Americana/SP;-22.7089649;-47.3674844,17
13470-491; Rua da Dedicação; Jardim Paz; Americana/SP;-22.7089667;-47.368711,17
13470-496; Rua da Devoção; Jardim Paz; Americana/SP;-22.7071649;-47.3676023,17
13470-464; Rua da Esperança; Jardim Paz; Americana/SP;-22.7120405;-47.3621565,18
13470-474; Rua da Felicidade; Jardim Paz; Americana/SP;-22.7101061;-47.3608837,18
13470-472; Rua da Gratidão; Jardim Paz; Americana/SP;-22.7105472;-47.3610293,18
13470-463; Rua da Harmonia; Jardim Paz; Americana/SP;-22.712455;-47.3625018,18
13470-470; Rua da Igualdade; Jardim Paz; Americana/SP;-22.7107685;-47.3625104,17
13470-471; Rua da Lealdade; Jardim Paz; Americana/SP;-22.7108311;-47.3613727,18
13470-485; Rua da Lembrança; Jardim Paz; Americana/SP;-22.7101075;-47.3671085,17
13470-495; Rua da Meditação; Jardim Paz; Americana/SP;-22.7069039;-47.3657642,18
13470-493; Rua da Plenitude; Jardim Paz; Americana/SP;-22.7076653;-47.3662724,18
13470-481; Rua da Prudência; Jardim Paz; Americana/SP;-22.7108174;-47.3651654,17
13470-484; Rua da Serenidade; Jardim Paz; Americana/SP;-22.7103755;-47.3666774,17
13470-460; Rua da Solidariedade; Jardim Paz; Americana/SP;-22.711128;-47.3701245,16
13470-482; Rua da Tranqüilidade; Jardim Paz; Americana/SP;-22.710861;-47.3657934,17
13470-480; Rua da União; Jardim Paz; Americana/SP;-22.7098043;-47.3653878,17
