CEP;Rua;Bairro;Cidade;Latitude;Longitude
13474-610; Rua Joaquim Murtinho; Antônio Zanaga I; Americana/SP;-22.7011614;-47.2982695,17
13474-666; Rua José Gregório de Macedo; Antônio Zanaga I; Americana/SP;-22.6982735;-47.2968204,18
13474-634; Rua Júlio Salusse; Antônio Zanaga I; Americana/SP;-22.7040568;-47.2948988,18
13474-651; Rua Leopoldo Froes; Antônio Zanaga I; Americana/SP;-22.7015095;-47.2934434,17
13474-633; Rua Lins de Vasconcelos; Antônio Zanaga I; Americana/SP;-22.7033934;-47.2968209,17
13474-630; Rua Luiz Otávio; Antônio Zanaga I; Americana/SP;-22.702009;-47.2965183,17
13474-667; Rua Martins Pena; Antônio Zanaga I; Americana/SP;-22.698067;-47.2962489,17
13474-660; Rua Osman Lins; Antônio Zanaga I; Americana/SP;-22.699186;-47.2957524,17
13474-662; Rua Ricardo Gonçalves; Antônio Zanaga I; Americana/SP;-22.6994589;-47.2967973,17
13474-663; Rua Tobias Barreto; Antônio Zanaga I; Americana/SP;-22.6992285;-47.2967648,17
13474-420; Avenida Vitalino; Antônio Zanaga II; Americana/SP;-22.7046687;-47.2914234,17
13474-422; Rua Adelmar Tavares; Antônio Zanaga II; Americana/SP;-22.7031365;-47.2900019,18
13474-402; Rua Alberto Seabra; Antônio Zanaga II; Americana/SP;-22.7060395;-47.2930359,17
13474-423; Rua Alceu Wamosy; Antônio Zanaga II; Americana/SP;-22.702252;-47.2925204,17
13474-413; Rua Álvaro Moreira; Antônio Zanaga II; Americana/SP;-22.7034517;-47.2925204,17
13474-441; Rua Américo Falcão; Antônio Zanaga II; Americana/SP;-22.7078616;-47.2997871,18
13474-440; Rua Antonio Conselheiro; Antônio Zanaga II; Americana/SP;-22.7049465;-47.2995209,16
13474-432; Rua Ascenso Ferreira; Antônio Zanaga II; Americana/SP;-22.7015875;-47.291747,17
13474-404; Rua Auta de Souza; Antônio Zanaga II; Americana/SP;-22.7051924;-47.294203,17
13474-451; Rua Caetano de Campos; Antônio Zanaga II; Americana/SP;-22.7063331;-47.3008551,17
13474-444; Rua Cásper Líbero; Antônio Zanaga II; Americana/SP;-22.7070534;-47.3023627,17
13474-430; Rua Cleomenes Campos; Antônio Zanaga II; Americana/SP;-22.701647;-47.2895485,18
13474-425; Rua Costa e Silva; Antônio Zanaga II; Americana/SP;-22.7000535;-47.2957065,16
13474-443; Rua Dalmo Florence; Antônio Zanaga II; Americana/SP;-22.7072319;-47.301081,17
13474-452; Rua Emiliano Perneta; Antônio Zanaga II; Americana/SP;-22.706062;-47.3004635,17
13474-450; Rua Gondim da Fonseca; Antônio Zanaga II; Americana/SP;-22.7067425;-47.3011889,17
13474-401; Rua Graça Aranha; Antônio Zanaga II; Americana/SP;-22.7058305;-47.2934264,17
13474-426; Rua Hugo de Carvalho Ramos; Antônio Zanaga II; Americana/SP;-22.7029151;-47.2900194,17
13474-412; Rua João do Rio; Antônio Zanaga II; Americana/SP;-22.7030526;-47.2924548,18
13474-414; Rua José Lins do Rego; Antônio Zanaga II; Americana/SP;-22.7040864;-47.2917776,17
13474-442; Rua Judas Isgorogota; Antônio Zanaga II; Americana/SP;-22.7077264;-47.3009844,17
13474-431; Rua Juvenal Galeno; Antônio Zanaga II; Americana/SP;-22.7018505;-47.2912984,17
